"Timestamp","Are you satisfied with the options for specific activities to choose from (eg. photography)?","Why were you satisfied/dissatisfied?","Would you wish for additional options to adapt the map to?","What kind of options would you like to see?","Do you feel represented by the categories in the predefined settings?","Which filtering process did you prefer to use? ","Why did you prefer that one?","What additional categories would you like to see for the predefined settings?","When you opened the website, did you immediately understand how to use it — or were there some difficulties?","What confused you? (Which elements?)","Would you benefit from an onboarding tutorial — as in a step by step guide through the first interaction with the map?","Did you expect any element of the interface to do something different, than it finally did?","Which elements seemed to do something different than expected?","What would you change to make the design more intuitive?","How old are you?","Have you visited Yellowstone National Park before?","On what device are you using the map?","At any point, were there issues with loading the map content?","What do you believe this map could be useful for?","How useful do you believe the map is for the purpose of planning a trip?","In general, do you have any other suggestions, remarks about the website?"
"2023/07/09 12:58:59 am EEST","3","I would like to now a bit more of the things I would see on the walk ","3","Like the feeling I could get, if its calmed or crowded","4","2","I feel the names describe quite well the mood, however I like the function of how many days I would stay.","something related to the landscape","2","I understood but I had seen it so my answer is biased ","3","1","the alert doesn´t have a close button, I click it again it closes but I would first look for the X on the alert","there is no way to rotate on a pc, no button","27","No","Desktop","No","For planning in advance knowing how many days I have, also for a fast decision. Or deciding with friends that have different interests.","5","I would put something with pictures or a link to get to know the routes better. Or a way that I can see how people rank the trails."
"2023/07/09 10:35:07 am EEST","3","I think they are great I just would like to have more information. Maybe it is something for a next step. Like rating of the campings or prices, something that can filter my options before google it.","5","I’m a trekking fan so different trekking filters like „by the lake“, „beautiful view“, „birdwatching“","3","5","I tried both. it would bebnice if the predefine one would have a description (like one sentence) of what is it, better than the link to the paper. And put a first null option, otherwise You have to click another one for then the adventurer appear. 
I think it is very useful to have both. The predefined to give you an idea (like a blogpost of the 5 best things to do) and then you can customise it","Read and relax","1","Sometime clicking and nothing happened","1","1","None","Bigger points while zooming in.","29","No","Mobile Phone","No","Organising your trip to Yellowstone","5",""
"2023/07/10 10:57:12 am EEST","3","More options needed (sightseeing, geyser eruption viewing - maybe in coordination with the possible eruption times for a set time frame(duration of specific trip))?, ranger programs available on set dates and locations. Etc. ","4","Previous ?  More options needed (sightseeing, geyser eruption viewing - maybe in coordination with the possible eruption times for a set time frame(duration of specific trip))?, ranger programs available on set dates and locations. Etc. ","4","5","I’m particular. And like to choose. ","More options needed (sightseeing, geyser eruption viewing - maybe in coordination with the possible eruption times for a set time frame(duration of specific trip))?, ranger programs available on set dates and locations. Etc. ","5","The sliding scales should be labeled automatically (you shouldn’t have to click on the info dot to read the scale)","4","1","N/a","More options needed (sightseeing, geyser eruption viewing - maybe in coordination with the possible eruption times for a set time frame(duration of specific trip))?, ranger programs available on set dates and locations. Etc. And add automatically labeled slider scales","27","Yes","Mobile Phone","No","Trip planning. Last minute planning. Prior planning. Etc. ","5","Great work! This is an awesome idea! If only all of the parks did this (but maybe that’s your hope? Or a future goal? If it isn’t - it should be!) Keep up the good work! Visuals are awesome. "
"2023/07/16 9:21:55 pm EEST","5","there seems to be a sufficient range of possible activities, with the most popular ones being included","1","","5","5","the recommended trails are better as it is more specific to fit my interests ","","4","I thought I would be able to click on the black dots to see what they are","3","1","none","","19","Yes","Mobile Phone","No, but there is a trail that has an undefined length","Finding trails that are specific to my interests, while knowing beforehand how long they are and what I can see there","4",""
"2023/07/16 9:34:45 pm EEST","2","No active options","5","Active options","3","5","I don't understand what predefined settings means","No answer","2","I couldn't click on black dots","1","3","The black dots","No answer","36","No","Mobile Phone","No","Visit the park","4","Some color would be nice"
"2023/07/16 9:52:32 pm EEST","4","It shows many options and they are clearly explained on what it is","1","","4","1","They were clear and easy to identify with","","5","","3","3","The Horsebackriding was a bit confusing when I filtered it solely to that","","19","No","Desktop","No","Planning the trip, or spontaneously changing plans while still having orientation, not getting lost","5",""
"2023/07/18 7:55:28 pm EEST","4","The given options covered most everything","4","Specifics of being ""active,"" hiking, horseback riding, kayaking, biking, etc.","4","5","I can set my own parameters","Semi-active","3","The yellow trail markers are not accurate distances","5","1","N/A","Hover over locations to see the details insead of having to click on them","28","No","Desktop","No","Planning a trip to Yellowstone.","3","The trails distances were incorrect"
"2023/08/09 2:57:17 pm EEST","4","","4","Hiking? Maybe something with water, don't know if that's possible there (haven't been there)","4","4","I'm a micro manager. but predefined ones are nice to see too","","4","Where are the entrances? Should be highlighted! Also I don't see the connection between the entrance I choose and the resulting routes. Predef. categories should be explained briefly on the map. When choosing any filter, I get these rly short sections of trails. I'm not driving there to hike 0.13 miles. Also sometimes it doesn't calculate the lenght of the trails, even if they're long. It just says "" Length = Miles""","5","2","Mostly fine, but if I choose custom filter option first and then change my mind for the predef. option it doesn't close the other window. A small annoyance.","If I choose custom filter option first and then change my mind for the predef. option it doesn't close the other window.
Where are the entrances? Should be highlighted!
Also I don't see the connection between the entrance I choose and the resulting routes.
Predef. categories should be explained briefly on the map.
When choosing any filter, I get these rly short sections of trails. I'm not driving there to hike 0.13 miles.
Also sometimes it doesn't calculate the lenght of the trails, even if they're long. It just says "" Length = Miles""","26","No","Desktop","Sometimes it takes a couple seconds to load, but that's ok","","3","brainstorming: maybe the roads for cars should be highlighted too? A filter for the min/max length of my trails would be nice in the custom filter. 
Front End development could improve. The custom filter pop up doesn't look nice."
"2023/08/09 3:01:11 pm EEST","4","","4","Roads to the next bog cities","3","4","Better planning under personal conditions","","4","","4","1","No Element ","","22","No","Mobile Phone","No","","4","No"
"2023/08/09 3:05:16 pm EEST","4","These are the most important activities but I would guess there are also other ones. Like climbing, Paragliding, organised hiking tours, watching animals.. (but I guess for that purpose I would use another app)","3","Look at my previous answere","4","1","Because I don't want to miss anything by filtering it","-","4","I couldn't click on all the elements to know what they mean","2","2","As I already wrote - I couln't click on every dot. ","-","24","No","Mobile Phone","Yes, it took a while in the standard mode to load.","To plan a trip in die NP","3",""
